tournament_id,tournament_name,year,tournament_gender,original_team_id,original_team_name,original_team_code,team_id,team_name,team_code,confederation_code,matches_played,wins,goals_scored,goals_conceded,goals_scored_per_match,goals_conceded_per_match,result_position,performance,finish_position_estimate,title,final_appearance,semi_final_appearance
WC-2015,2015 FIFA Women's World Cup,2015,women,T-09,Brazil,BRA,T-09,Brazil,BRA,CONMEBOL,4,3,4,1,1,0.25,,round of 16,16,0,0,0
WC-2015,2015 FIFA Women's World Cup,2015,women,T-11,Cameroon,CMR,T-11,Cameroon,CMR,CAF,4,2,9,4,2.25,1,,round of 16,16,0,0,0
WC-2015,2015 FIFA Women's World Cup,2015,women,T-12,Canada,CAN,T-12,Canada,CAN,CONCACAF,5,2,4,3,0.8,0.6,,quarter-final,24,0,0,0
WC-2015,2015 FIFA Women's World Cup,2015,women,T-14,China,CHN,T-14,China,CHN,AFC,5,2,4,4,0.8,0.8,,quarter-final,24,0,0,0
WC-2015,2015 FIFA Women's World Cup,2015,women,T-16,Colombia,COL,T-16,Colombia,COL,CONMEBOL,4,1,4,5,1,1.25,,round of 16,16,0,0,0
WC-2015,2015 FIFA Women's World Cup,2015,women,T-17,Costa Rica,CRI,T-17,Costa Rica,CRI,CONCACAF,3,0,3,4,1,1.333,,group stage,24,0,0,0
WC-2015,2015 FIFA Women's World Cup,2015,women,T-25,Ecuador,ECU,T-25,Ecuador,ECU,CONMEBOL,3,0,1,17,0.333,5.667,,group stage,24,0,0,0
WC-2015,2015 FIFA Women's World Cup,2015,women,T-28,England,ENG,T-28,England,ENG,UEFA,7,5,10,7,1.429,1,3,third-place match,3,0,0,1
WC-2015,2015 FIFA Women's World Cup,2015,women,T-30,France,FRA,T-30,France,FRA,UEFA,5,3,10,3,2,0.6,,quarter-final,24,0,0,0
WC-2015,2015 FIFA Women's World Cup,2015,women,T-31,Germany,DEU,T-31,Germany,DEU,UEFA,7,3,20,6,2.857,0.857,4,third-place match,4,0,0,1
