team_id,team_name,team_code,confederation_code,tournament_gender,world_cup_appearances,titles,finals_appearances,semi_final_appearances,best_finish_position,best_finish_label,average_finish_position_estimate,total_matches_played,total_wins,goals_scored,goals_conceded,win_rate,goals_scored_per_tournament,goals_conceded_per_tournament,goals_scored_per_match,goals_conceded_per_match,appearances_score,titles_score,finals_score,semi_finals_score,win_rate_score,historical_strength_score
T-52,Northern Ireland,NIR,UEFA,men,3,0,0,0,8,quarter-finals,14.67,13,3,13,23,23.08,4.33,7.67,1,1.769,13.64,0,0,0,23.08,6.4
T-53,Norway,NOR,UEFA,men,3,0,0,0,16,round of 16,18.67,8,2,7,8,25,2.33,2.67,0.875,1,13.64,0,0,0,25,6.59
T-60,Republic of Ireland,IRL,UEFA,men,3,0,0,0,8,quarter-finals,13.33,13,2,10,10,15.38,3.33,3.33,0.769,0.769,13.64,0,0,0,15.38,5.63
T-65,Senegal,SEN,CAF,men,3,0,0,0,8,quarter-finals,16,12,5,16,17,41.67,5.33,5.67,1.333,1.417,13.64,0,0,0,41.67,8.26
T-66,Serbia,SRB,UEFA,men,3,0,0,0,24,group stage,24,9,2,9,15,22.22,3,5,1,1.667,13.64,0,0,0,22.22,6.31
T-70,South Africa,ZAF,CAF,men,3,0,0,0,24,group stage,24,9,2,11,16,22.22,3.67,5.33,1.222,1.778,13.64,0,0,0,22.22,6.31
T-12,Canada,CAN,CONCACAF,men,2,0,0,0,24,group stage,24,6,0,2,12,0,1,6,0.333,2,9.09,0,0,0,0,2.73
T-27,El Salvador,SLV,CONCACAF,men,2,0,0,0,24,group stage,24,6,0,1,22,0,0.5,11,0.167,3.667,9.09,0,0,0,0,2.73
T-49,New Zealand,NZL,OFC,men,2,0,0,0,24,group stage,24,6,0,4,14,0,2,7,0.667,2.333,9.09,0,0,0,0,2.73
T-51,North Korea,PRK,AFC,men,2,0,0,0,8,quarter-finals,16,7,1,6,21,14.29,3,10.5,0.857,3,9.09,0,0,0,14.29,4.16
T-69,Slovenia,SVN,UEFA,men,2,0,0,0,24,group stage,24,6,1,5,10,16.67,2.5,5,0.833,1.667,9.09,0,0,0,16.67,4.39
T-80,Turkey,TUR,UEFA,men,2,0,0,1,3,position 3,13.5,10,5,20,17,50,10,8.5,2,1.7,9.09,0,0,9.09,50,9.09
T-85,Wales,WAL,UEFA,men,2,0,0,0,8,quarter-finals,16,8,1,5,10,12.5,2.5,5,0.625,1.25,9.09,0,0,0,12.5,3.98
T-02,Angola,AGO,CAF,men,1,0,0,0,24,group stage,24,3,0,1,2,0,1,2,0.333,0.667,4.55,0,0,0,0,1.36
