team_id,team_name,team_code,confederation_code,tournament_gender,world_cup_appearances,titles,finals_appearances,semi_final_appearances,best_finish_position,best_finish_label,average_finish_position_estimate,total_matches_played,total_wins,goals_scored,goals_conceded,win_rate,goals_scored_per_tournament,goals_conceded_per_tournament,goals_scored_per_match,goals_conceded_per_match,appearances_score,titles_score,finals_score,semi_finals_score,win_rate_score,historical_strength_score
N-IRN,Iran,IRN,AFC,men,6,0,0,0,24,group stage,24,18,3,13,31,16.67,2.17,5.17,0.722,1.722,27.27,0,0,0,16.67,9.85
N-MAR,Morocco,MAR,CAF,men,6,0,0,1,4,position 4,19.33,23,5,20,27,21.74,3.33,4.5,0.87,1.174,27.27,0,0,7.69,21.74,11.51
N-NGA,Nigeria,NGA,CAF,men,6,0,0,0,16,round of 16,20,21,6,23,30,28.57,3.83,5,1.095,1.429,27.27,0,0,0,28.57,11.04
N-SAU,Saudi Arabia,SAU,AFC,men,6,0,0,0,16,round of 16,22.67,19,4,14,44,21.05,2.33,7.33,0.737,2.316,27.27,0,0,0,21.05,10.29
N-TUN,Tunisia,TUN,CAF,men,6,0,0,0,24,group stage,24,18,3,14,26,16.67,2.33,4.33,0.778,1.444,27.27,0,0,0,16.67,9.85
N-PER,Peru,PER,CONMEBOL,men,5,0,0,0,8,quarter-finals,18.4,18,5,21,33,27.78,4.2,6.6,1.167,1.833,22.73,0,0,0,27.78,9.6
N-DZA,Algeria,DZA,CAF,men,4,0,0,0,16,round of 16,22,13,3,13,19,23.08,3.25,4.75,1,1.462,18.18,0,0,0,23.08,7.76
N-ECU,Ecuador,ECU,CONMEBOL,men,4,0,0,0,16,round of 16,22,13,5,14,14,38.46,3.5,3.5,1.077,1.077,18.18,0,0,0,38.46,9.3
N-GHA,Ghana,GHA,CAF,men,4,0,0,0,8,quarter-finals,18,15,5,18,23,33.33,4.5,5.75,1.2,1.533,18.18,0,0,0,33.33,8.79
N-BOL,Bolivia,BOL,CONMEBOL,men,3,0,0,0,24,group stage,24,6,0,1,20,0,0.33,6.67,0.167,3.333,13.64,0,0,0,0,4.09
N-EGY,Egypt,EGY,CAF,men,3,0,0,0,16,round of 16,21.33,7,0,5,12,0,1.67,4,0.714,1.714,13.64,0,0,0,0,4.09
N-GRC,Greece,GRC,UEFA,men,3,0,0,0,16,round of 16,21.33,10,2,5,20,20,1.67,6.67,0.5,2,13.64,0,0,0,20,6.09
N-HND,Honduras,HND,CONCACAF,men,3,0,0,0,24,group stage,24,9,0,3,14,0,1,4.67,0.333,1.556,13.64,0,0,0,0,4.09
N-CIV,Ivory Coast,CIV,CAF,men,3,0,0,0,24,group stage,24,9,3,13,14,33.33,4.33,4.67,1.444,1.556,13.64,0,0,0,33.33,7.42
