rank,team_id,team_name,team_code,confederation_code,historical_strength_score,world_cup_appearances,titles,finals_appearances,semi_final_appearances,win_rate,goals_scored,goals_conceded,best_finish_label,average_finish_position_estimate,appearances_score,titles_score,finals_score,semi_finals_score,win_rate_score
48,N-NIR,Northern Ireland,NIR,UEFA,6.4,3,0,0,0,23.08,13,23,quarter-finals,14.67,13.64,0,0,0,23.08
49,N-ZAF,South Africa,ZAF,CAF,6.31,3,0,0,0,22.22,11,16,group stage,24,13.64,0,0,0,22.22
50,N-GRC,Greece,GRC,UEFA,6.09,3,0,0,0,20,5,20,round of 16,21.33,13.64,0,0,0,20
51,N-IRL,Republic of Ireland,IRL,UEFA,5.63,3,0,0,0,15.38,10,10,quarter-finals,13.33,13.64,0,0,0,15.38
52,N-UKR,Ukraine,UKR,UEFA,5.37,1,0,0,0,40,5,7,quarter-finals,8,4.55,0,0,0,40
53,N-BIH,Bosnia and Herzegovina,BIH,UEFA,4.7,1,0,0,0,33.33,4,4,group stage,24,4.55,0,0,0,33.33
54,N-CUB,Cuba,CUB,CONCACAF,4.7,1,0,0,0,33.33,5,12,quarter-finals,8,4.55,0,0,0,33.33
55,N-CZE,Czech Republic,CZE,UEFA,4.7,1,0,0,0,33.33,3,4,group stage,24,4.55,0,0,0,33.33
56,N-DDR,East Germany,DDR,UEFA,4.7,1,0,0,0,33.33,5,5,second group stage,12,4.55,0,0,0,33.33
57,N-JAM,Jamaica,JAM,CONCACAF,4.7,1,0,0,0,33.33,3,9,group stage,24,4.55,0,0,0,33.33
58,N-SVN,Slovenia,SVN,UEFA,4.39,2,0,0,0,16.67,5,10,group stage,24,9.09,0,0,0,16.67
59,N-PRK,North Korea,PRK,AFC,4.16,2,0,0,0,14.29,6,21,quarter-finals,16,9.09,0,0,0,14.29
60,N-BOL,Bolivia,BOL,CONMEBOL,4.09,3,0,0,0,0,1,20,group stage,24,13.64,0,0,0,0
61,N-EGY,Egypt,EGY,CAF,4.09,3,0,0,0,0,5,12,round of 16,21.33,13.64,0,0,0,0
62,N-HND,Honduras,HND,CONCACAF,4.09,3,0,0,0,0,3,14,group stage,24,13.64,0,0,0,0
63,N-WAL,Wales,WAL,UEFA,3.98,2,0,0,0,12.5,5,10,quarter-finals,16,9.09,0,0,0,12.5
64,N-SVK,Slovakia,SVK,UEFA,3.87,1,0,0,0,25,5,7,round of 16,16,4.55,0,0,0,25
65,N-CAN,Canada,CAN,CONCACAF,2.73,2,0,0,0,0,2,12,group stage,24,9.09,0,0,0,0
66,N-SLV,El Salvador,SLV,CONCACAF,2.73,2,0,0,0,0,1,22,group stage,24,9.09,0,0,0,0
67,N-NZL,New Zealand,NZL,OFC,2.73,2,0,0,0,0,4,14,group stage,24,9.09,0,0,0,0
68,N-AGO,Angola,AGO,CAF,1.36,1,0,0,0,0,1,2,group stage,24,4.55,0,0,0,0
69,N-CHN,China,CHN,AFC,1.36,1,0,0,0,0,0,9,group stage,24,4.55,0,0,0,0
70,N-COD,DR Congo,COD,CAF,1.36,1,0,0,0,0,0,14,group stage,24,4.55,0,0,0,0
71,N-IDN,Dutch East Indies,IDN,AFC,1.36,1,0,0,0,0,0,6,round of 16,16,4.55,0,0,0,0
